value,ioc_type,category,confidence,tlp,sources,tags,first_seen,last_seen,description
167.94.146.53,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
164.52.0.92,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
104.152.52.207,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.232,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
167.94.146.50,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.171.8.181,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
195.211.96.85,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
64.62.156.94,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
106.75.156.189,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.65.194.40,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
64.62.156.47,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
66.240.205.34,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.238,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.65.193.67,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
64.62.156.99,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.65.216.44,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
135.237.125.146,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.65.194.99,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
157.245.252.5,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
103.203.59.1,ipv4,threat,medium,WHITE,capelabs/threatmesh,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.182,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
1.83.125.188,ipv4,threat,medium,WHITE,capelabs/threatmesh,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.240,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.237,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
64.62.156.105,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
64.62.156.100,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
172.202.118.45,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.235,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
48.217.87.78,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.65.202.2,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.46.245.69,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
